TIMESTAMP,UserID,Location_Type,Location_Inside_or_Outside,Number_of_People_Present,Time_Spent_on_Location,Wearing_Masks,Staff_Properly_Wearing_PPE,People_Properly_Wearing_PPE,Social_Distancing,Additional_Measures_in_Place,Number_of_People_in_the_Party,All_Members_of_Household,All_Members_of_Support_Bubble,Quality_of_the_Airflow,Temperature_in_Venue,Humidity_in_Venue,Clean_after_Every_Usage,Any_Contact_Between_Members,Physical_Activity,Exposure_Led_to_Contamination,Risk_of_Contamination
01/01/20 00:00,81fe0575-cddb-489a-8f4f-514b22b05903,4,0,2,6,0,0,0,1,0,2,1,0,2,1,1,1,2,2,2,1
01/01/20 00:03,178220e7-1e81-4020-a627-076b6c6e3776,15,0,2,6,0,0,0,0,0,1,0,0,1,2,0,3,2,2,2,0
01/01/20 00:07,854a4aa4-6237-4fd2-b587-75c2c43781fa,10,0,2,5,0,0,0,0,1,2,1,0,3,1,1,3,2,2,2,1
01/01/20 00:08,05d9389a-c1f8-4dba-912f-ff4d3cb51b59,13,0,1,7,0,0,1,0,0,1,0,0,2,0,1,3,2,2,2,1
01/01/20 00:09,7a55585b-2fb0-46b1-98f4-4cf9ef6a4244,5,0,3,7,0,0,0,1,1,2,0,0,1,2,1,3,2,2,2,1
01/01/20 00:09,ccab0fb8-19d0-48df-a1a4-1c3b1d65ba9c,3,0,0,6,0,0,0,0,0,1,0,0,2,0,0,2,2,2,2,1
01/01/20 00:09,426e16d5-a3a7-4012-a091-01137779b0e2,4,0,3,6,0,0,1,1,1,2,1,0,2,1,1,2,2,2,2,1
01/01/20 00:13,69cf5607-4375-4886-b996-dbab96cb1178,7,0,3,7,0,0,0,0,1,2,0,0,1,1,0,2,2,2,2,0
01/01/20 00:15,5766244b-23d6-44dc-a394-3e78612b4190,3,0,3,4,0,0,0,0,0,2,1,0,2,2,0,0,2,2,2,0
01/01/20 00:17,80cba9f6-daeb-40f0-ada9-5e703612228a,2,0,3,1,0,0,1,1,1,1,1,0,1,1,1,3,2,2,2,0
01/01/20 00:21,a829948c-403e-4403-9bc3-896154c0ce0a,8,0,2,4,0,0,1,0,0,2,1,1,3,1,0,3,2,2,2,1
01/01/20 00:22,885af488-d2c3-4d46-8c48-9b127deb43c8,15,0,3,6,0,0,0,1,0,3,1,0,1,1,1,3,2,2,2,0
01/01/20 00:22,4a76c39a-742e-43ae-a16a-33e3f0273ade,16,0,2,4,0,0,0,0,0,2,1,1,2,1,0,2,2,2,2,0
01/01/20 00:25,390c33da-a3eb-4f5e-a508-5bd47bb0ec2d,15,0,3,2,0,0,1,0,0,1,0,0,3,1,0,3,2,2,2,1
01/01/20 00:27,f37fa97d-725c-424b-9cb4-78e4655fced7,12,1,1,6,1,0,1,1,0,1,1,0,2,1,2,3,0,0,2,0
01/01/20 00:27,ece5f498-e50b-433a-9848-623c0b5e0a9e,2,0,2,7,0,0,0,1,0,1,1,0,3,1,0,3,2,2,0,1
01/01/20 00:27,ccab0fb8-19d0-48df-a1a4-1c3b1d65ba9c,4,0,0,4,0,0,0,0,0,3,1,0,1,1,0,2,2,2,2,0
01/01/20 00:30,d06db1a6-0131-4e66-9042-3b6f048d46e0,8,0,2,6,0,0,0,0,0,0,0,1,1,1,0,3,2,2,2,1
01/01/20 00:31,f6512a99-58de-432c-aece-8428600c4b79,15,0,3,7,0,0,0,0,1,2,1,0,0,2,0,3,2,2,2,1
01/01/20 00:31,1019a4a1-7a50-43b5-bb01-3e4a98787843,9,0,2,3,0,0,0,0,0,1,1,0,3,2,2,0,2,2,2,0
01/01/20 00:35,3f7d44a2-6ffb-48af-8195-0c02a16867e7,16,0,3,4,0,0,0,1,0,3,0,0,3,1,0,2,2,2,2,1
01/01/20 00:38,b4670bf2-ee43-4945-a1b9-fe4e780f9c66,10,0,2,1,1,0,0,0,1,1,1,0,0,2,1,3,2,2,2,1
01/01/20 00:41,486c5c11-548f-41b2-ae16-71562d773051,3,0,2,6,0,0,0,1,1,1,1,0,3,1,1,1,2,2,2,0
01/01/20 00:41,8405c90c-e9dc-4f55-baf3-18b6b012cdb2,18,1,2,4,0,0,0,0,0,2,1,0,0,1,1,3,0,0,0,0
01/01/20 00:42,803599fc-21a5-4b00-99d0-ae6769f7f0df,10,0,3,3,0,1,0,0,0,2,1,0,2,1,2,3,2,2,2,1
01/01/20 00:44,e1b06fa9-9a99-4cee-bb52-aa6e3a52f25a,6,0,2,6,0,0,0,0,1,2,1,0,3,2,0,3,2,2,0,0
01/01/20 00:48,be5db4a2-9aa8-413d-bb93-4651bd7c7023,12,0,1,7,0,0,0,1,0,2,1,0,2,2,1,3,2,2,2,0
01/01/20 00:49,8a5c5b9b-5e7b-4fb1-b682-c9391805f57f,4,0,1,7,1,0,0,0,0,2,1,0,3,0,0,0,2,2,2,0
01/01/20 00:49,94488e47-3588-4f4f-bf98-7d478e497c74,10,0,2,4,0,0,0,0,0,2,1,0,2,1,0,3,2,2,2,1
01/01/20 00:50,4ef0ef28-2618-447f-ad30-0cbcc5f00ed2,8,0,1,2,0,0,0,1,0,1,1,0,2,1,0,3,2,2,2,0
01/01/20 00:51,2fa0fa3b-1891-4bea-844b-22853787dbd2,5,0,2,0,0,0,0,0,0,2,1,0,1,2,0,3,2,2,2,1
